instance,heuristic,n_feasible,mean_final_feas,std_final_feas,mean_gap_pct,std_gap_pct,mean_init_feas,mean_conv_itr,std_conv_itr
airland1,EDD,5,700.0000,0.0000,0.0000,0.0000,700.0000,0.0000,0.0000
airland1,ERD,5,700.0000,0.0000,0.0000,0.0000,1280.0000,21.2000,11.5135
airland1,MDD,5,700.0000,0.0000,0.0000,0.0000,700.0000,0.0000,0.0000
airland1,MPDS,5,700.0000,0.0000,0.0000,0.0000,970.0000,26.8000,1.7205
airland1,ATC_k2,5,700.0000,0.0000,0.0000,0.0000,880.0000,22.4000,4.6733
airland1,ATC_k4,5,700.0000,0.0000,0.0000,0.0000,880.0000,22.4000,4.6733
airland2,EDD,5,1480.0000,0.0000,0.0000,0.0000,1500.0000,41.6000,6.2482
airland2,ERD,5,1480.0000,0.0000,0.0000,0.0000,1790.0000,43.0000,7.4833
airland2,MDD,5,1480.0000,0.0000,0.0000,0.0000,1500.0000,41.6000,6.2482
airland2,MPDS,5,1480.0000,0.0000,0.0000,0.0000,1500.0000,37.0000,4.0000
airland2,ATC_k2,5,1480.0000,0.0000,0.0000,0.0000,1480.0000,0.0000,0.0000
airland2,ATC_k4,5,1480.0000,0.0000,0.0000,0.0000,1480.0000,0.0000,0.0000
airland3,EDD,5,820.0000,0.0000,0.0000,0.0000,1730.0000,45.4000,3.2619
airland3,ERD,5,820.0000,0.0000,0.0000,0.0000,1790.0000,44.8000,2.7129
airland3,MDD,5,820.0000,0.0000,0.0000,0.0000,1730.0000,45.4000,3.2619
airland3,MPDS,5,820.0000,0.0000,0.0000,0.0000,980.0000,45.0000,3.6332
airland3,ATC_k2,5,820.0000,0.0000,0.0000,0.0000,820.0000,0.0000,0.0000
airland3,ATC_k4,5,820.0000,0.0000,0.0000,0.0000,820.0000,0.0000,0.0000
airland4,EDD,5,2520.0000,0.0000,0.0000,0.0000,2520.0000,0.0000,0.0000
airland4,ERD,5,2520.0000,0.0000,0.0000,0.0000,4890.0000,47.6000,0.8000
airland4,MDD,5,2520.0000,0.0000,0.0000,0.0000,2520.0000,0.0000,0.0000
airland4,MPDS,5,2520.0000,0.0000,0.0000,0.0000,8560.0000,50.2000,5.1147
airland4,ATC_k2,5,2520.0000,0.0000,0.0000,0.0000,2520.0000,0.0000,0.0000
airland4,ATC_k4,5,2520.0000,0.0000,0.0000,0.0000,2520.0000,0.0000,0.0000
airland5,EDD,5,3100.0000,0.0000,0.0000,0.0000,5420.0000,47.2000,2.4819
airland5,ERD,5,3100.0000,0.0000,0.0000,0.0000,6470.0000,46.4000,3.0067
airland5,MDD,5,3100.0000,0.0000,0.0000,0.0000,3100.0000,0.0000,0.0000
airland5,MPDS,5,3100.0000,0.0000,0.0000,0.0000,9270.0000,44.0000,5.0596
airland5,ATC_k2,5,3100.0000,0.0000,0.0000,0.0000,3100.0000,0.0000,0.0000
airland5,ATC_k4,5,3100.0000,0.0000,0.0000,0.0000,3100.0000,0.0000,0.0000
airland6,EDD,5,24442.0000,0.0000,0.0000,0.0000,24442.0000,0.0000,0.0000
airland6,ERD,5,24442.0000,0.0000,0.0000,0.0000,24442.0000,0.0000,0.0000
airland6,MDD,0,inf,0.0000,nan,0.0000,inf,240.0000,0.0000
airland6,MPDS,0,inf,0.0000,nan,0.0000,inf,240.0000,0.0000
airland6,ATC_k2,0,inf,0.0000,nan,0.0000,inf,240.0000,0.0000
airland6,ATC_k4,0,inf,0.0000,nan,0.0000,inf,240.0000,0.0000
airland7,EDD,5,1550.0000,0.0000,0.0000,0.0000,1550.0000,0.0000,0.0000
airland7,ERD,5,1550.0000,0.0000,0.0000,0.0000,1550.0000,0.0000,0.0000
airland7,MDD,5,1550.0000,0.0000,0.0000,0.0000,1550.0000,0.0000,0.0000
airland7,MPDS,0,inf,0.0000,nan,0.0000,inf,240.0000,0.0000
airland7,ATC_k2,0,inf,0.0000,nan,0.0000,inf,240.0000,0.0000
airland7,ATC_k4,0,inf,0.0000,nan,0.0000,inf,240.0000,0.0000
airland8,EDD,5,1964.0000,28.0000,0.7179,1.4359,2480.0000,177.4000,81.4312
airland8,ERD,5,1950.0000,0.0000,0.0000,0.0000,18915.0000,132.6000,59.2000
airland8,MDD,5,1964.0000,28.0000,0.7179,1.4359,2480.0000,177.4000,81.4312
airland8,MPDS,5,2086.0000,74.9933,6.9744,3.8458,inf,126.0000,50.7346
airland8,ATC_k2,5,1964.0000,28.0000,0.7179,1.4359,4070.0000,119.8000,35.5719
airland8,ATC_k4,5,1950.0000,0.0000,0.0000,0.0000,6525.0000,166.0000,53.2015
airland9,EDD,5,5628.9060,20.7178,0.3066,0.3692,7310.1800,247.4000,74.1016
airland9,ERD,5,5623.0580,15.7510,0.2024,0.2807,17602.6300,350.4000,114.3024
airland9,MDD,5,5641.8960,25.9802,0.5381,0.4630,7142.5200,240.0000,90.8581
airland9,MPDS,0,inf,0.0000,nan,0.0000,inf,360.0000,0.0000
airland9,ATC_k2,5,5617.3840,2.6993,0.1013,0.0481,7284.2700,163.0000,40.9145
airland9,ATC_k4,5,5630.2400,19.6752,0.3304,0.3506,8930.6400,208.0000,60.3921
airland10,EDD,5,12347.3920,33.1541,-2.3182,0.2623,20142.4100,626.6000,186.8995
airland10,ERD,5,12374.8100,57.2215,-2.1013,0.4527,27201.8300,488.2000,150.6458
airland10,MDD,5,12377.1400,72.9852,-2.0829,0.5774,19691.5200,429.2000,112.1542
airland10,MPDS,0,inf,0.0000,nan,0.0000,inf,360.0000,0.0000
airland10,ATC_k2,5,13717.9400,401.4160,8.5244,3.1757,inf,382.8000,157.7129
airland10,ATC_k4,5,14391.4100,1074.9943,13.8523,8.5044,inf,327.6000,197.6852
airland11,EDD,5,12457.6740,36.2063,-0.0361,0.2905,15018.8400,427.4000,61.6136
airland11,ERD,5,12543.8740,141.1485,0.6555,1.1326,33405.3600,701.6000,116.0286
airland11,MDD,5,12527.2660,144.7324,0.5223,1.1614,15072.6100,496.4000,104.9716
airland11,MPDS,0,inf,0.0000,nan,0.0000,inf,360.0000,0.0000
airland11,ATC_k2,5,12542.8700,155.8315,0.6475,1.2504,15643.6000,572.6000,115.0541
airland11,ATC_k4,5,12672.6120,149.7027,1.6886,1.2013,18148.3200,669.8000,79.0124
airland12,EDD,5,16426.8600,52.7150,-1.2162,0.3170,20145.6000,618.2000,96.5078
airland12,ERD,5,16373.4380,127.2212,-1.5375,0.7651,43351.6300,906.6000,120.1176
airland12,MDD,5,16466.9100,139.6077,-0.9753,0.8396,19777.3100,627.0000,173.9816
airland12,MPDS,0,inf,0.0000,nan,0.0000,inf,360.0000,0.0000
airland12,ATC_k2,5,16391.1300,74.8571,-1.4310,0.4502,20148.4200,911.0000,150.1852
airland12,ATC_k4,5,16458.3760,59.1427,-1.0267,0.3556,22787.2100,902.6000,158.2247
airland13,EDD,5,41424.8260,2863.1624,5.4402,7.2877,47116.7300,461.4000,231.5786
airland13,ERD,5,72602.4540,9809.1273,84.7977,24.9676,91991.7200,241.8000,121.3448
airland13,MDD,5,41971.2340,2233.9090,6.8310,5.6861,46407.4700,442.4000,222.4308
airland13,MPDS,0,inf,0.0000,nan,0.0000,inf,360.0000,0.0000
airland13,ATC_k2,5,43220.8720,511.5498,10.0117,1.3021,49949.6000,545.4000,57.7048
airland13,ATC_k4,5,50308.7180,3409.9774,28.0527,8.6796,inf,502.2000,166.3712
